Date,VH
2014-11-24,-18.657
2015-1-30,-17.84755452491542
2015-2-4,-18.354495399630515
2015-2-16,-17.293344200182283
2015-2-23,-17.181779397116497
2015-2-28,-17.262171602123708
2015-3-7,-16.296845929428237
2015-3-12,-16.888196803510912
2015-3-19,-17.391397012937684
2015-3-24,-16.77176487106955
2015-3-31,-15.793185113811653
2015-4-5,-15.855086767907492
2015-4-12,-16.09668736942361
2015-4-17,-15.379044860609673
2015-4-24,-14.641369135864666
2015-4-29,-15.120934737113659
2015-5-6,-15.253292888943836
2015-5-11,-14.94894206831019
2015-5-18,-14.977205458456503
2015-5-23,-14.349094513905543
2015-5-30,-14.21396748537248
2015-6-4,-14.925717306712196
2015-6-11,-14.447105226549132
2015-6-16,-14.423257016531672
2015-6-23,-14.92765312775369
2015-6-28,-14.475660730092317
2015-7-5,-13.28051886307525
2015-7-10,-13.655422319930365
2015-7-17,-14.683207537784396
2015-7-22,-15.636437695900531
2015-7-29,-15.730269039543835
2015-8-15,-14.148176695903967
2015-8-27,-15.010584422067492
2015-9-8,-15.484449887927603
2015-9-20,-16.71063927546433
2015-10-2,-17.818636876668428
2015-11-14,-14.756272203169214
2015-11-19,-15.384736944026784
2015-11-26,-16.696638026610582
2015-12-1,-16.575062368535207
2015-12-8,-15.933262013091845
2015-12-13,-15.573549378151993
2015-12-20,-14.51672288046473
2015-12-25,-14.597208678198973
2016-1-1,-16.041501415060846
2016-1-6,-16.28797539770374
2016-1-13,-15.274632664395183
2016-1-18,-14.99150884374438
2016-1-25,-16.387952149620695
2016-1-30,-17.126776345900407
2016-1-30,-17.126776345900407
2016-2-6,-16.696976573808104
2016-2-11,-16.44504578214719
2016-2-18,-16.213650967799037
2016-2-23,-15.850602678212535
2016-3-1,-15.388748679216052
2016-3-6,-15.100338525674202
2016-3-13,-14.245845631499684
2016-3-18,-14.63066646478706
2016-3-25,-15.73281239939896
2016-3-30,-14.701212516818911
2016-4-6,-14.401573879432801
2016-4-11,-15.160414724661848
2016-4-18,-15.374356291580137
2016-4-23,-15.172532057916014
2016-4-30,-15.160430784340134
2016-5-5,-15.030106903513076
2016-5-12,-15.213366268948436
2016-5-17,-15.714694044347421
2016-5-24,-16.089279751092352
2016-5-29,-15.668012718354914
2016-6-5,-15.850673716628481
2016-6-10,-15.665278032777476
2016-6-29,-14.73458118294341
2016-7-4,-14.503010347059025
2016-7-11,-13.759903698987406
2016-7-16,-13.472927815818752
2016-7-23,-13.628805530853477
2016-7-28,-13.685847872217602
2016-8-4,-14.233401242375365
2016-8-9,-14.617553595722516
2016-8-16,-15.35026307877782
2016-8-21,-15.996350999867147
2016-8-28,-15.977292309210878
2016-9-2,-15.889666310854642
2016-9-9,-16.010292890554446
2016-9-14,-15.866592873546784
2016-9-21,-16.151054078088645
2016-9-26,-15.660792711455422
2016-10-2,-14.718415880756924
2016-10-3,-14.634458975805623
2016-10-8,-14.529006729603246
2016-10-9,-14.542308836896673
2016-10-14,-14.58221984032454
2016-10-15,-14.585805879201198
2016-10-20,-14.784823069417023
2016-10-21,-14.882721070644557
2016-10-26,-15.63622947114739
2016-10-27,-15.821305126500278
2016-11-1,-16.712651982806204
2016-11-2,-16.84059031520308
2016-11-7,-16.82291469608343
2016-11-8,-16.6649875701585
2016-11-13,-15.529236572330573
2016-11-14,-15.34055248726119
2016-11-19,-15.04928106714555
2016-11-20,-15.099767663778248
2016-11-25,-15.509283373453707
2016-11-26,-15.587392472911063
2016-12-1,-15.917545140155072
2016-12-2,-15.983196140994496
2016-12-7,-16.287939028093913
2016-12-8,-16.326646792029493
2016-12-13,-16.413900387465382
2016-12-14,-16.43350876245241
2016-12-19,-16.63837374142214
2016-12-20,-16.685663986907635
2016-12-25,-16.728013165661203
2016-12-26,-16.679213508320093
2016-12-31,-16.33391569764457
2017-1-1,-16.297769082384995
2017-1-6,-16.44615514758759
2017-1-7,-16.517834748454394
2017-1-12,-16.83754631914286
2017-1-13,-16.87734333152865
2017-1-18,-17.07171864937566
2017-1-19,-17.137271743834628
2017-1-24,-17.43619456213731
2017-1-25,-17.426668735564633
2017-1-30,-16.87481523496993
2017-1-31,-16.71070995729564
2017-2-5,-16.114733033573255
2017-2-6,-16.083437416593323
2017-2-11,-16.41300056678022
2017-2-12,-16.54875260665185
2017-2-17,-17.245562290448248
2017-2-18,-17.34302888325657
2017-2-23,-17.410457895864138
2017-2-24,-17.351791207779417
2017-3-1,-17.063254871528443
2017-3-2,-17.049954843110402
2017-3-7,-17.100929990230238
2017-3-8,-17.075246300204572
2017-3-13,-16.460531241766844
2017-3-14,-16.249346964482378
2017-3-19,-15.113169951664108
2017-3-20,-14.926743850966034
2017-3-25,-14.501642136494853
2017-3-26,-14.53861756538218
2017-3-31,-15.326865365295228
2017-4-1,-15.56512434855602
2017-4-6,-16.549391467405822
2017-4-7,-16.63049649822134
2017-4-12,-16.394134082512885
2017-4-13,-16.271288953364454
2017-4-18,-15.674274841112057
2017-4-19,-15.586377938357652
2017-4-24,-15.486393863263444
2017-4-25,-15.540695349155062
2017-4-30,-15.745005754370679
2017-5-1,-15.687331510066123
2017-5-6,-14.995177132598016
2017-5-7,-14.87734332960289
2017-5-12,-14.716685521936743
2017-5-13,-14.729396867178224
2017-5-18,-14.834119935145802
2017-5-19,-14.871706013252066
2017-5-24,-15.025302961427425
2017-5-25,-15.020383952901028
2017-5-30,-14.937791668673134
2017-5-31,-14.958343878356379
2017-6-5,-15.324258540141576
2017-6-6,-15.40845445473994
2017-6-11,-15.60735793685113
2017-6-12,-15.600142332045037
2017-6-17,-15.32071670348945
2017-6-18,-15.20396987368684
2017-6-23,-14.484815228498706
2017-6-24,-14.379646074256408
2017-6-29,-14.341096053535399
2017-6-30,-14.406145431310046
2017-7-5,-14.81219939232418
2017-7-6,-14.89605102854359
2017-7-11,-15.256803799964578
2017-7-12,-15.301952470609104
2017-7-18,-15.328474368704828
2017-7-23,-15.221482980037582
2017-7-24,-15.201726988949735
2017-7-29,-15.074910191533029
2017-7-30,-15.034825980314277
2017-8-4,-14.813237694872575
2017-8-5,-14.786505574984185
2017-8-10,-14.859341476834041
2017-8-11,-14.915625445557717
2017-8-16,-15.186775180701929
2017-8-17,-15.196056683606656
2017-8-22,-15.09532694157959
2017-8-23,-15.105294401622963
2017-8-28,-15.385746060624792
2017-8-29,-15.428814404827376
2017-9-3,-15.245796576208534
2017-9-4,-15.148056870652075
2017-9-9,-14.800507257779989
2017-9-10,-14.810726609774003
2017-9-15,-15.247679057030666
2017-9-16,-15.368819178361004
2017-9-21,-15.872157473469771
2017-9-22,-15.936313051336361
2017-9-27,-16.076254762018188
2017-9-28,-16.090320704180144
2017-10-3,-16.29917518799243
2017-10-4,-16.369539694227946
2017-10-9,-16.603200729145787
2017-10-10,-16.5885942887321
2017-10-15,-16.16516395452849
2017-10-16,-16.0352314169861
2017-10-21,-15.483226718664186
2017-10-22,-15.440766035573734
2017-10-27,-15.782375642253132
2017-10-28,-15.937813396503612
2017-11-2,-16.482256914761763
2017-11-3,-16.456701831449084
2017-11-8,-15.863746616844239
2017-11-9,-15.769145382864151
2017-11-14,-15.72519391646383
2017-11-15,-15.745321305849938
2017-11-20,-15.949373995524278
2017-11-21,-16.0684296725565
2017-11-26,-16.858759550510253
2017-11-27,-16.9506259711613
2017-12-2,-16.901128507889393
2017-12-3,-16.865498408459143
2017-12-8,-16.79185372882719
2017-12-9,-16.741080198382356
2017-12-14,-16.048397370591847
2017-12-15,-15.876817053412879
2017-12-20,-15.56222279586336
2017-12-21,-15.655583925297599
2017-12-26,-16.485954786238015
2017-12-27,-16.609442730357866
2018-1-1,-16.63577115225743
2018-1-2,-16.569183314856673
2018-1-7,-16.27468386148308
2018-1-8,-16.24231802580373
2018-1-13,-16.382797446223243
2018-1-14,-16.4882298048208
2018-1-19,-17.06228206651972
2018-1-20,-17.10822868992996
2018-1-25,-16.936821108640906
2018-1-26,-16.888812339310714
2018-1-31,-16.929976858382705
2018-2-1,-16.993738160346343
2018-2-6,-17.503412190056494
2018-2-7,-17.6231137831196
2018-2-12,-17.998130310908593
2018-2-13,-17.996212971064526
2018-2-18,-17.72876214294559
2018-2-19,-17.669613905032243
2018-2-24,-17.45439676263712
2018-2-25,-17.403765461269668
2018-3-2,-17.00455112081077
2018-3-3,-16.90732339032647
2018-3-8,-16.477076716944307
2018-3-9,-16.41491862664759
2018-3-14,-16.2238189111533
2018-3-15,-16.19485263447199
2018-3-20,-15.991063960959226
2018-3-21,-15.95068952188449
2018-3-26,-16.13149519643781
2018-3-27,-16.299741930984688
2018-4-2,-17.58303219703941
2018-4-7,-17.063177732054065
2018-4-8,-16.855387732146745
2018-4-14,-15.667696185410684
2018-4-19,-15.255469422061777
2018-4-20,-15.296849471614676
2018-4-25,-15.831090360612748
2018-4-26,-15.925254353389601
2018-5-1,-15.961658276975976
2018-5-2,-15.896180934739144
2018-5-7,-15.535569103207235
2018-5-8,-15.473937977304992
2018-5-13,-14.951470756926284
2018-5-14,-14.77100725399324
2018-5-19,-13.862174537355546
2018-5-20,-13.781671489186628
2018-5-25,-14.23860516216893
2018-5-26,-14.456560404732693
2018-5-31,-15.509570499812789
2018-6-1,-15.627405567311671
2018-6-6,-15.295780055473182
2018-6-7,-15.043367461427325
2018-6-12,-13.519721747917723
2018-6-13,-13.29021125133155
2018-6-18,-12.94957167479635
2018-6-19,-13.007757139876334
2018-6-24,-13.511301927973754
2018-6-25,-13.622998507613657
2018-6-30,-14.134273385969724
2018-7-1,-14.21948151959541
2018-7-6,-14.622535525094053
2018-7-12,-15.09556843064561
2018-7-13,-15.102577431095828
2018-7-18,-14.830808816617921
2018-7-19,-14.760559880946884
2018-7-24,-14.686349573561804
2018-7-25,-14.736075588206901
2018-7-30,-15.053487579440139
2018-7-31,-15.114686970064135
2018-8-5,-15.686182756957573
2018-8-5,-15.686182756957573
2018-8-6,-15.870876476566005
2018-8-6,-15.870876476566009
2018-8-11,-16.684037537700124
2018-8-11,-16.684037537700128
2018-8-12,-16.739209277513048
2018-8-12,-16.739209277513048
2018-8-17,-16.589580825742882
2018-8-17,-16.58958082574289
2018-8-18,-16.576393547191145
2018-8-18,-16.576393547191138
2018-8-23,-16.761630643296808
2018-8-23,-16.761630643296815
2018-8-24,-16.76667674098139
2018-8-24,-16.76667674098139
2018-8-29,-16.33060094646357
2018-8-29,-16.33060094646357
2018-8-30,-16.205766665783575
2018-8-30,-16.205766665783575
2018-9-4,-15.902240976538181
2018-9-4,-15.902240976538184
2018-9-5,-15.916645750970186
