system:time_start,VH
"Nov 24, 2014",-18.657
"Jan 30, 2015",-17.046
"Feb 4, 2015",-19.184
"Feb 16, 2015",-17.552
"Feb 23, 2015",-16.07
"Feb 28, 2015",-19.069
"Mar 7, 2015",-14.137
"Mar 12, 2015",-18.072
"Mar 19, 2015",-17.896
"Mar 24, 2015",-16.604
"Mar 31, 2015",-15.382
"Apr 5, 2015",-15.681
"Apr 12, 2015",-17.113
"Apr 17, 2015",-14.939
"Apr 24, 2015",-13.64
"Apr 29, 2015",-15.804
"May 6, 2015",-15.854
"May 11, 2015",-13.985
"May 18, 2015",-16.159
"May 23, 2015",-13.723
"May 30, 2015",-12.793
"Jun 4, 2015",-16.758
"Jun 11, 2015",-13.664
"Jun 16, 2015",-14.403
"Jun 23, 2015",-15.315
"Jun 28, 2015",-15.003
"Jul 5, 2015",-11.653
"Jul 10, 2015",-14.74
"Jul 17, 2015",-13.249
"Jul 22, 2015",-17.249
"Jul 29, 2015",-15.308
"Aug 15, 2015",-14.098
"Aug 27, 2015",-15.036
"Sep 8, 2015",-15.443
"Sep 20, 2015",-16.716
"Oct 2, 2015",-17.877
"Nov 14, 2015",-14.403
"Nov 19, 2015",-15.08
"Nov 26, 2015",-17.676
"Dec 1, 2015",-16.349
"Dec 8, 2015",-15.698
"Dec 13, 2015",-16.092
"Dec 20, 2015",-14.054
"Dec 25, 2015",-14.033
"Jan 1, 2016",-16.475
"Jan 6, 2016",-16.808
"Jan 13, 2016",-15.192
"Jan 18, 2016",-14.342
"Jan 25, 2016",-15.288
"Jan 30, 2016",-17.747
"Jan 30, 2016",-18.269
"Feb 6, 2016",-15.811
"Feb 11, 2016",-16.725
"Feb 18, 2016",-16.38
"Feb 23, 2016",-15.749
"Mar 1, 2016",-15.18
"Mar 6, 2016",-15.579
"Mar 13, 2016",-13.745
"Mar 18, 2016",-13.819
"Mar 25, 2016",-18.407
"Mar 30, 2016",-12.798
"Apr 6, 2016",-13.778
"Apr 11, 2016",-15.962
"Apr 18, 2016",-15.612
"Apr 23, 2016",-14.747
"Apr 30, 2016",-15.579
"May 5, 2016",-14.687
"May 12, 2016",-15.009
"May 17, 2016",-15.658
"May 24, 2016",-17.38
"May 29, 2016",-14.237
"Jun 5, 2016",-16.864
"Jun 10, 2016",-15.017
"Jun 29, 2016",-14.858
"Jul 4, 2016",-14.616
"Jul 11, 2016",-13.835
"Jul 16, 2016",-12.99
"Jul 23, 2016",-14.053
"Jul 28, 2016",-13.234
"Aug 4, 2016",-14.255
"Aug 9, 2016",-14.779
"Aug 16, 2016",-14.638
"Aug 21, 2016",-16.935
"Aug 28, 2016",-15.912
"Sep 2, 2016",-15.555
"Sep 9, 2016",-16.749
"Sep 14, 2016",-14.995
"Sep 21, 2016",-16.82
"Sep 26, 2016",-16.047
"Oct 2, 2016",-15.491
"Oct 3, 2016",-13.34
"Oct 8, 2016",-13.689
"Oct 9, 2016",-15.373
"Oct 14, 2016",-15.959
"Oct 15, 2016",-13.152
"Oct 20, 2016",-14.49
"Oct 21, 2016",-14.494
"Oct 26, 2016",-16.272
"Oct 27, 2016",-15.098
"Nov 1, 2016",-15.698
"Nov 2, 2016",-18.767
"Nov 7, 2016",-16.107
"Nov 8, 2016",-19.407
"Nov 13, 2016",-14.463
"Nov 14, 2016",-14.226
"Nov 19, 2016",-14.457
"Nov 20, 2016",-15.453
"Nov 25, 2016",-14.716
"Nov 26, 2016",-16.8
"Dec 1, 2016",-15.455
"Dec 2, 2016",-15.916
"Dec 7, 2016",-16.62
"Dec 8, 2016",-16.627
"Dec 13, 2016",-16.867
"Dec 14, 2016",-15.403
"Dec 19, 2016",-17.154
"Dec 20, 2016",-16.409
"Dec 25, 2016",-16.346
"Dec 26, 2016",-18.195
"Dec 31, 2016",-15.92
"Jan 1, 2017",-15.102
"Jan 6, 2017",-18.329
"Jan 7, 2017",-14.751
"Jan 12, 2017",-16.987
"Jan 13, 2017",-17.602
"Jan 18, 2017",-16.627
"Jan 19, 2017",-16.329
"Jan 24, 2017",-17.59
"Jan 25, 2017",-19.379
"Jan 30, 2017",-15.406
"Jan 31, 2017",-17.883
"Feb 5, 2017",-15.055
"Feb 6, 2017",-15.847
"Feb 11, 2017",-15.572
"Feb 12, 2017",-17.236
"Feb 17, 2017",-15.666
"Feb 18, 2017",-19.684
"Feb 23, 2017",-17.549
"Feb 24, 2017",-17.659
"Mar 1, 2017",-16.778
"Mar 2, 2017",-15.97
"Mar 7, 2017",-18.597
"Mar 8, 2017",-16.802
"Mar 13, 2017",-17.1
"Mar 14, 2017",-16.544
"Mar 19, 2017",-13.754
"Mar 20, 2017",-15.308
"Mar 25, 2017",-14.362
"Mar 26, 2017",-13.496
"Mar 31, 2017",-13.6
"Apr 1, 2017",-16.86
"Apr 6, 2017",-16.556
"Apr 7, 2017",-18.591
"Apr 12, 2017",-16.488
"Apr 13, 2017",-15.732
"Apr 18, 2017",-16.568
"Apr 19, 2017",-14.476
"Apr 24, 2017",-16.289
"Apr 25, 2017",-13.385
"Apr 30, 2017",-15.919
"May 1, 2017",-18.833
"May 6, 2017",-13.111
"May 7, 2017",-13.802
"May 12, 2017",-17.474
"May 13, 2017",-12.844
"May 18, 2017",-15.414
"May 19, 2017",-13.44
"May 24, 2017",-17.847
"May 25, 2017",-13.318
"May 30, 2017",-15.711
"May 31, 2017",-13.127
"Jun 5, 2017",-14.893
"Jun 6, 2017",-16.676
"Jun 11, 2017",-15.99
"Jun 12, 2017",-15.166
"Jun 17, 2017",-14.782
"Jun 18, 2017",-16.952
"Jun 23, 2017",-15.141
"Jun 24, 2017",-12.062
"Jun 29, 2017",-13.462
"Jun 30, 2017",-15.652
"Jul 5, 2017",-14.624
"Jul 6, 2017",-14.513
"Jul 11, 2017",-16.576
"Jul 12, 2017",-14.742
"Jul 18, 2017",-15.197
"Jul 23, 2017",-16.893
"Jul 24, 2017",-13.399
"Jul 29, 2017",-15.064
"Jul 30, 2017",-15.99
"Aug 4, 2017",-12.467
"Aug 5, 2017",-16.471
"Aug 10, 2017",-15.846
"Aug 11, 2017",-12.922
"Aug 16, 2017",-15.898
"Aug 17, 2017",-16.314
"Aug 22, 2017",-14.545
"Aug 23, 2017",-13.835
"Aug 28, 2017",-15.456
"Aug 29, 2017",-16.829
"Sep 3, 2017",-14.568
"Sep 4, 2017",-16.095
"Sep 9, 2017",-14.249
"Sep 10, 2017",-13.508
"Sep 15, 2017",-17.229
"Sep 16, 2017",-13.933
"Sep 21, 2017",-15.28
"Sep 22, 2017",-17.172
"Sep 27, 2017",-16.064
"Sep 28, 2017",-15.954
"Oct 3, 2017",-14.946
"Oct 4, 2017",-17.221
"Oct 9, 2017",-18.311
"Oct 10, 2017",-15.688
"Oct 15, 2017",-17.215
"Oct 16, 2017",-15.316
"Oct 21, 2017",-15.764
"Oct 22, 2017",-14.204
"Oct 27, 2017",-15.023
"Oct 28, 2017",-15.74
"Nov 2, 2017",-17.328
"Nov 3, 2017",-18.657
"Nov 8, 2017",-16.309
"Nov 9, 2017",-12.288
"Nov 14, 2017",-16.829
"Nov 15, 2017",-16.912
"Nov 20, 2017",-14.774
"Nov 21, 2017",-14.015
"Nov 26, 2017",-20.357
"Nov 27, 2017",-16.453
"Dec 2, 2017",-17.678
"Dec 3, 2017",-14.674
"Dec 8, 2017",-15.581
"Dec 9, 2017",-19.929
"Dec 14, 2017",-16.061
"Dec 15, 2017",-15.068
"Dec 20, 2017",-15.059
"Dec 21, 2017",-13.942
"Dec 26, 2017",-16.26
"Dec 27, 2017",-19.286
"Jan 1, 2018",-17.251
"Jan 2, 2018",-14.944
"Jan 7, 2018",-18.024
"Jan 8, 2018",-14.871
"Jan 13, 2018",-16.093
"Jan 14, 2018",-15.288
"Jan 19, 2018",-17.733
"Jan 20, 2018",-18.927
"Jan 25, 2018",-15.322
"Jan 26, 2018",-17.072
"Jan 31, 2018",-17.668
"Feb 1, 2018",-16.166
"Feb 6, 2018",-16.481
"Feb 7, 2018",-18.425
"Feb 12, 2018",-19.307
"Feb 13, 2018",-17.834
"Feb 18, 2018",-18.339
"Feb 19, 2018",-16.226
"Feb 24, 2018",-18.049
"Feb 25, 2018",-17.7
"Mar 2, 2018",-15.99
"Mar 3, 2018",-17.916
"Mar 8, 2018",-15.44
"Mar 9, 2018",-17.104
"Mar 14, 2018",-15.183
"Mar 15, 2018",-17.142
"Mar 20, 2018",-17.186
"Mar 21, 2018",-14.729
"Mar 26, 2018",-15.939
"Mar 27, 2018",-14.704
"Apr 2, 2018",-21.186
"Apr 7, 2018",-17.529
"Apr 8, 2018",-14.767
"Apr 14, 2018",-16.54
"Apr 19, 2018",-14.976
"Apr 20, 2018",-13.18
"Apr 25, 2018",-18.719
"Apr 26, 2018",-14.329
"May 1, 2018",-18.105
"May 2, 2018",-14.506
"May 7, 2018",-14.002
"May 8, 2018",-16.444
"May 13, 2018",-16.774
"May 14, 2018",-14.443
"May 19, 2018",-13.945
"May 20, 2018",-11.285
"May 25, 2018",-13.98
"May 26, 2018",-14.414
"May 31, 2018",-16.368
"Jun 1, 2018",-15.924
"Jun 6, 2018",-17.709
"Jun 7, 2018",-14.937
"Jun 12, 2018",-12.801
"Jun 13, 2018",-11.498
"Jun 18, 2018",-13.341
"Jun 19, 2018",-12.275
"Jun 24, 2018",-14.085
"Jun 25, 2018",-13.388
"Jun 30, 2018",-11.456
"Jul 1, 2018",-17.725
"Jul 6, 2018",-13.529
"Jul 12, 2018",-15.68
"Jul 13, 2018",-15.615
"Jul 18, 2018",-15.392
"Jul 19, 2018",-13.976
"Jul 24, 2018",-12.778
"Jul 25, 2018",-15.912
"Jul 30, 2018",-15.02
"Jul 31, 2018",-16.189
"Aug 5, 2018",-12.952
"Aug 5, 2018",-13.702
"Aug 6, 2018",-16.061
"Aug 6, 2018",-15.936
"Aug 11, 2018",-17.907
"Aug 11, 2018",-17.618
"Aug 12, 2018",-18.912
"Aug 12, 2018",-18.756
"Aug 17, 2018",-16.804
"Aug 17, 2018",-15.518
"Aug 18, 2018",-14.009
"Aug 18, 2018",-14.07
"Aug 23, 2018",-18.955
"Aug 23, 2018",-19.01
"Aug 24, 2018",-17.068
"Aug 24, 2018",-16.829
"Aug 29, 2018",-15.87
"Aug 29, 2018",-17.704
"Aug 30, 2018",-15.191
"Aug 30, 2018",-15.056
"Sep 4, 2018",-15.395
"Sep 4, 2018",-15.662
"Sep 5, 2018",-15.202
"Sep 5, 2018",-15.265
"Sep 10, 2018",-18.288
"Sep 10, 2018",-18.132
"Sep 11, 2018",-15.168
"Sep 11, 2018",-15.538
"Sep 16, 2018",-15.258
"Sep 16, 2018",-14.882
"Sep 17, 2018",-16.255
"Sep 17, 2018",-13.438
"Sep 22, 2018",-15.423
"Sep 22, 2018",-15.605
"Sep 23, 2018",-13.625
"Sep 23, 2018",-13.618
"Sep 28, 2018",-18.318
"Sep 28, 2018",-15.349
"Sep 29, 2018",-15.201
"Sep 29, 2018",-14.479
"Oct 4, 2018",-17.926
"Oct 4, 2018",-16.825
"Oct 5, 2018",-18.214
"Oct 5, 2018",-18.04
"Oct 10, 2018",-14.27
"Oct 10, 2018",-13.757
"Oct 11, 2018",-14.995
"Oct 11, 2018",-15.34
"Oct 16, 2018",-18.582
"Oct 16, 2018",-16.408
"Oct 17, 2018",-16.601
"Oct 17, 2018",-16.565
"Oct 22, 2018",-16.387
"Oct 22, 2018",-16.264
"Oct 23, 2018",-16.784
"Oct 23, 2018",-16.938
"Oct 28, 2018",-16.42
"Oct 28, 2018",-15.79
"Oct 29, 2018",-16.603
"Oct 29, 2018",-16.795
"Nov 3, 2018",-13.672
"Nov 3, 2018",-13.584
"Nov 4, 2018",-14.425
"Nov 4, 2018",-14.825
"Nov 9, 2018",-17.619
"Nov 9, 2018",-19.242
"Nov 10, 2018",-15.632
"Nov 10, 2018",-15.62
"Nov 15, 2018",-15.055
"Nov 15, 2018",-14.98
"Nov 16, 2018",-15.51
"Nov 16, 2018",-15.684
"Nov 21, 2018",-19.486
"Nov 21, 2018",-19.107
"Nov 22, 2018",-16.042
"Nov 22, 2018",-15.994
"Nov 27, 2018",-16.381
"Nov 27, 2018",-15.103
"Nov 28, 2018",-17.622
"Nov 28, 2018",-17.666
"Dec 3, 2018",-15.757
"Dec 3, 2018",-15.55
"Dec 4, 2018",-14.744
"Dec 4, 2018",-14.597
"Dec 9, 2018",-16.32
"Dec 9, 2018",-16.192
"Dec 15, 2018",-18.736
"Dec 16, 2018",-18.604
"Dec 16, 2018",-18.467
"Dec 21, 2018",-15.269
"Dec 21, 2018",-18.179
"Dec 27, 2018",-16.57
"Dec 27, 2018",-16.748
"Dec 28, 2018",-15.338
"Dec 28, 2018",-15.355
"Jan 2, 2019",-17.635
"Jan 2, 2019",-17.181
"Jan 8, 2019",-17.442
"Jan 9, 2019",-17.909
"Jan 14, 2019",-15.165
"Jan 20, 2019",-16.021
"Jan 21, 2019",-16.737
"Jan 26, 2019",-15.345
"Jan 27, 2019",-18.231
"Feb 1, 2019",-17.864
"Feb 2, 2019",-17.278
"Feb 7, 2019",-16.299
"Feb 8, 2019",-16.716
"Feb 14, 2019",-15.317
"Feb 19, 2019",-15.924
"Feb 26, 2019",-17.902
"Mar 4, 2019",-14.939
"Mar 9, 2019",-19.1
"Mar 10, 2019",-15.767
"Mar 15, 2019",-18.179
"Mar 16, 2019",-17.868
"Mar 22, 2019",-19.252
"Mar 27, 2019",-17.642
"Apr 2, 2019",-16.397
"Apr 3, 2019",-14.984
"Apr 8, 2019",-16.617
"Apr 9, 2019",-17.448
"Apr 14, 2019",-18.054
"Apr 15, 2019",-13.439
"Apr 20, 2019",-18.916
"Apr 21, 2019",-14.42
"Apr 26, 2019",-17.035
"Apr 27, 2019",-16.738
"May 2, 2019",-16.033
"May 3, 2019",-14.987
"May 8, 2019",-17.412
"May 9, 2019",-13.512
"May 14, 2019",-14.874
"May 15, 2019",-16.502
"May 21, 2019",-12.673
"May 26, 2019",-14.149
"Jun 1, 2019",-13.076
"Jun 2, 2019",-16.09
"Jun 7, 2019",-14.058
"Jun 8, 2019",-12.926
"Jun 13, 2019",-14.001
"Jun 14, 2019",-13.901
"Jun 19, 2019",-16.685
"Jun 20, 2019",-13.517
"Jun 25, 2019",-14.852
"Jun 26, 2019",-12.966
"Jul 1, 2019",-13.271
"Jul 2, 2019",-14.771
"Jul 7, 2019",-14.644
"Jul 8, 2019",-13.214
"Jul 13, 2019",-15.865
"Jul 14, 2019",-14.109
"Jul 20, 2019",-13.197
"Jul 25, 2019",-15.142
"Jul 31, 2019",-13.829
"Aug 1, 2019",-13.117
"Aug 6, 2019",-14.741
"Aug 7, 2019",-14.953
"Aug 12, 2019",-14.938
"Aug 13, 2019",-12.102
"Aug 18, 2019",-14.694
"Aug 19, 2019",-13.065
"Aug 24, 2019",-14.511
"Aug 25, 2019",-12.932
"Aug 30, 2019",-12.33
"Aug 31, 2019",-14.186
"Sep 5, 2019",-16.016
"Sep 6, 2019",-16.269
"Sep 11, 2019",-13.581
"Sep 12, 2019",-15.4
"Sep 18, 2019",-14.133
"Sep 23, 2019",-15.052
"Sep 29, 2019",-15.037
"Sep 30, 2019",-13.878
"Oct 5, 2019",-16.708
"Oct 6, 2019",-16.063
"Oct 11, 2019",-17.528
"Oct 12, 2019",-16.411
"Oct 17, 2019",-14.755
"Oct 18, 2019",-16.769
"Oct 23, 2019",-15.311
"Oct 24, 2019",-14.909
"Oct 29, 2019",-12.571
"Oct 30, 2019",-15.221
"Nov 4, 2019",-15.865
"Nov 5, 2019",-13.404
"Nov 10, 2019",-17.338
"Nov 11, 2019",-16.183
"Nov 16, 2019",-13.76
"Nov 17, 2019",-15.483
"Nov 22, 2019",-17.442
"Nov 23, 2019",-15.281
"Nov 28, 2019",-18.479
"Nov 29, 2019",-16.136
"Dec 4, 2019",-16.043
"Dec 5, 2019",-16.059
"Dec 10, 2019",-14.897
"Dec 11, 2019",-16.78
"Dec 16, 2019",-16.34
"Dec 17, 2019",-16.571
"Dec 22, 2019",-16.191
"Dec 23, 2019",-12.992
"Dec 28, 2019",-17.086
"Dec 29, 2019",-14.838
"Jan 3, 2020",-16.397
"Jan 4, 2020",-18.179
"Jan 9, 2020",-15.475
"Jan 10, 2020",-15.728
"Jan 15, 2020",-15.553
"Jan 16, 2020",-11.109
"Jan 21, 2020",-16.583
"Jan 22, 2020",-16.061
"Jan 27, 2020",-16.763
"Jan 28, 2020",-14.439
"Feb 3, 2020",-14.94
"Feb 8, 2020",-12.449
"Feb 9, 2020",-14.572
"Feb 14, 2020",-15.32
"Feb 15, 2020",-16.604
"Feb 20, 2020",-18.448
"Feb 21, 2020",-14.33
"Feb 26, 2020",-18.491
"Feb 27, 2020",-16.07
"Mar 3, 2020",-17.425
"Mar 4, 2020",-13.589
"Mar 9, 2020",-17.29
"Mar 10, 2020",-13.749
"Mar 15, 2020",-15.563
"Mar 16, 2020",-13.666
"Mar 21, 2020",-15.817
